event,series,rungs,mean_ask_c,mean_spread_c,winners,mean_pnl_c
KXATPMATCH-26AUG02BONHAN,KXATPMATCH,2,50.5,1.0,1,-2.50
KXATPMATCH-26AUG03CHATIR,KXATPMATCH,2,51.0,1.0,1,-3.00
KXATPMATCH-26AUG05BROSHE,KXATPMATCH,2,51.0,3.0,1,-3.00
KXATPMATCH-26AUG05MEDVAN,KXATPMATCH,2,65.5,19.0,1,-17.50
KXATPMATCH-26AUG07MERMIC,KXATPMATCH,2,50.5,1.5,1,-2.50
KXATPMATCH-26AUG09FONSHE,KXATPMATCH,2,51.0,1.0,1,-3.00
KXATPMATCH-26AUG11HALKWON,KXATPMATCH,2,50.5,4.5,1,-2.50
KXATPMATCH-26JUL12BORKOU,KXATPMATCH,2,51.0,1.5,1,-3.00
KXATPMATCH-26JUL12LAJVAN,KXATPMATCH,2,50.5,1.5,1,-2.50
KXATPMATCH-26JUL15PRIMOL,KXATPMATCH,2,50.0,1.0,1,-2.00
KXATPMATCH-26JUL17COLVAC,KXATPMATCH,2,51.5,2.0,1,-3.50
KXATPMATCH-26JUL19STRSHE,KXATPMATCH,2,50.5,1.0,1,-2.50
KXATPMATCH-26JUL19VANFAR,KXATPMATCH,2,50.5,1.0,1,-2.50
KXATPMATCH-26JUL24BURBLO,KXATPMATCH,2,51.0,1.0,1,-3.00
KXATPMATCH-26JUL27NISSHA,KXATPMATCH,2,51.0,1.5,1,-3.00
KXATPMATCH-26JUL27SVAMEN,KXATPMATCH,2,50.5,1.0,1,-2.50
KXATPMATCH-26JUL29MICMAN,KXATPMATCH,2,50.5,1.5,1,-2.50
KXATPMATCH-26JUL30HUMSHE,KXATPMATCH,2,51.0,1.0,1,-3.00
KXCPIYOY-26JUN,KXCPIYOY,10,20.8,1.1,0,-22.00
KXCPIYOY-26MAY,KXCPIYOY,7,34.6,1.0,2,-7.14
KXEGGS-JUN26,KXEGGS,1,12.0,1.0,0,-13.00
KXEGGS-MAY26,KXEGGS,1,15.0,1.0,0,-16.00
